Speech,Label,text,clean_text,tokenized_clean_text,tokenized_stem_text,token_length
নিরামিষ আর একটু বাড়ালে আরো ভালো হতো,2,নিরামিষ একটু বাড়ালে আরো ভালো হত,নিরামিষ একটু বাড়ালে আরো ভালো হতো,"['নিরামিষ', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হতো']","['নিরামিষ', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হত']",6
সবজি মোটামটি ভালো ,2,সবজি মোটাম ভালো,সবজি মোটামটি ভালো,"['সবজি', 'মোটামটি', 'ভালো']","['সবজি', 'মোটাম', 'ভালো']",3
আপেল আরও বেশি দরকার,2,আপেল দরক,আপেল দরকার,"['আপেল', 'দরকার']","['আপেল', 'দরক']",2
এমন ফালতু টেষ্টের স্যুপ বানানো জন্য এদের নোবেল দেওয়া উচিত। তোরা ব্যাবসা কেমনে করতেছিস ভাই। সবাই কে বলছি- আমার মত কেউ বোকা বনে যাবেন না এদের স্যুপ অর্ডার দিয়ে।,0,ফালতু টেষ্ট স্যুপ বানানো নোবেল তোরা ব্যাবসা কে করতেছিস ভাই সবা মত বোকা বনে যাব না স্যুপ অর্ড দিয়ে, ফালতু টেষ্টের স্যুপ বানানো নোবেল তোরা ব্যাবসা কে করতেছিস ভাই সবাই মত বোকা বনে যাবেন না স্যুপ অর্ডার দিয়ে,"['ফালতু', 'টেষ্টের', 'স্যুপ', 'বানানো', 'নোবেল', 'তোরা', 'ব্যাবসা', 'কে', 'করতেছিস', 'ভাই', 'সবাই', 'মত', 'বোকা', 'বনে', 'যাবেন', 'না', 'স্যুপ', 'অর্ডার', 'দিয়ে']","['ফালতু', 'টেষ্ট', 'স্যুপ', 'বানানো', 'নোবেল', 'তোরা', 'ব্যাবসা', 'কে', 'করতেছিস', 'ভাই', 'সবা', 'মত', 'বোকা', 'বনে', 'যাব', 'না', 'স্যুপ', 'অর্ড', 'দিয়ে']",19
"প্রাণ খুলে আড্ডা দেওয়ার মতন একটা প্লেস 😊
ধানমন্ডির মতন একটা জায়গায় এত সুন্দর রুফটপ এ এত কমে খাবার পাওয়া গেলে আর কি লাগে তাইতো সবার জন্য হাইলি রিকমেন্ডেড",1,প্রাণ খুলে আড্ডা মতন এক প্লেস nধানমন্ডির মতন এক জায়গায় সুন্দর রুফটপ কমে খা লাগে তাইতো হাই রিকমেন্ডেড,প্রাণ খুলে আড্ডা মতন একটা প্লেস nধানমন্ডির মতন একটা জায়গায় সুন্দর রুফটপ কমে খা লাগে তাইতো হাইলি রিকমেন্ডেড,"['প্রাণ', 'খুলে', 'আড্ডা', 'মতন', 'একটা', 'প্লেস', 'nধানমন্ডির', 'মতন', 'একটা', 'জায়গায়', 'সুন্দর', 'রুফটপ', 'কমে', 'খা', 'লাগে', 'তাইতো', 'হাইলি', 'রিকমেন্ডেড']","['প্রাণ', 'খুলে', 'আড্ডা', 'মতন', 'এক', 'প্লেস', 'nধানমন্ডির', 'মতন', 'এক', 'জায়গায়', 'সুন্দর', 'রুফটপ', 'কমে', 'খা', 'লাগে', 'তাইতো', 'হাই', 'রিকমেন্ডেড']",18
মুরগীর মাংস অর্ডার করেছিলাম টেস্ট ভাল ছিল কিন্তু দাম অনুযায়ী স্বাদ ভাল ছিল,1,মুরগীর মাংস অর্ড করেছি টেস্ট ভাল দাম স্বাদ ভাল ছিল,মুরগীর মাংস অর্ডার করেছিলাম টেস্ট ভাল দাম স্বাদ ভাল ছিল,"['মুরগীর', 'মাংস', 'অর্ডার', 'করেছিলাম', 'টেস্ট', 'ভাল', 'দাম', 'স্বাদ', 'ভাল', 'ছিল']","['মুরগীর', 'মাংস', 'অর্ড', 'করেছি', 'টেস্ট', 'ভাল', 'দাম', 'স্বাদ', 'ভাল', 'ছিল']",10
সিংগারা খেয়ে আমার পেট খারাপ হয়েছে,0,সিংগা খায় পেট খারাপ হয়,সিংগারা খেয়ে পেট খারাপ হয়েছে,"['সিংগারা', 'খেয়ে', 'পেট', 'খারাপ', 'হয়েছে']","['সিংগা', 'খায়', 'পেট', 'খারাপ', 'হয়']",5
এটি একটি মাংসের বাক্স নয় বরং একটি মাংসের ডাম্পস্টার ছিল।,0,মাংস বাক্স নয় মাংস ডাম্পস্ ছিল, মাংসের বাক্স নয় মাংসের ডাম্পস্টার ছিল,"['মাংসের', 'বাক্স', 'নয়', 'মাংসের', 'ডাম্পস্টার', 'ছিল']","['মাংস', 'বাক্স', 'নয়', 'মাংস', 'ডাম্পস্', 'ছিল']",6
ডিমের তরকারি ভালো ছিল কিন্তু দামে বেশি,2,ডিম তরকারি ভালো দামে বেশি,ডিমের তরকারি ভালো দামে বেশি,"['ডিমের', 'তরকারি', 'ভালো', 'দামে', 'বেশি']","['ডিম', 'তরকারি', 'ভালো', 'দামে', 'বেশি']",5
আজকের কাচ্চি টা গত দিনের চেয়ে ভাল ছিল,1,আজক কাচ্চি গত দিন চায় ভাল ছিল,আজকের কাচ্চি গত দিনের চেয়ে ভাল ছিল,"['আজকের', 'কাচ্চি', 'গত', 'দিনের', 'চেয়ে', 'ভাল', 'ছিল']","['আজক', 'কাচ্চি', 'গত', 'দিন', 'চায়', 'ভাল', 'ছিল']",7
দুধের মান খুব একটা ভালো নয়।,2,দুধ মান এক ভালো নয়,দুধের মান একটা ভালো নয়,"['দুধের', 'মান', 'একটা', 'ভালো', 'নয়']","['দুধ', 'মান', 'এক', 'ভালো', 'নয়']",5
কোয়ান্টিটি কম,0,কোয়ান্ কম,কোয়ান্টি কম,"['কোয়ান্টি', 'কম']","['কোয়ান্', 'কম']",2
খাবারটা খুব মজাদার ছিল. খাবারের মান খুবই ভাল ছিল.,1,খাবারটা মজ খাবারের মান খুব ভাল ছিল,খাবারটা মজাদার খাবারের মান খুবই ভাল ছিল,"['খাবারটা', 'মজাদার', 'খাবারের', 'মান', 'খুবই', 'ভাল', 'ছিল']","['খাবারটা', 'মজ', 'খাবারের', 'মান', 'খুব', 'ভাল', 'ছিল']",7
কাচ্চি দাম অনুযায়ী মোটামুটি,2,কাচ্চি দাম মোটামু,কাচ্চি দাম মোটামুটি,"['কাচ্চি', 'দাম', 'মোটামুটি']","['কাচ্চি', 'দাম', 'মোটামু']",3
সমুচা একদম সেরা ,1,সমুচা একদম সের,সমুচা একদম সেরা,"['সমুচা', 'একদম', 'সেরা']","['সমুচা', 'একদম', 'সের']",3
ডাল আর আরেক্টু হলে জমতো,2,ডাল আরেক্টু জম,ডাল আরেক্টু জমতো,"['ডাল', 'আরেক্টু', 'জমতো']","['ডাল', 'আরেক্টু', 'জম']",3
কাবাব মোটামটি ভালো ,2,কাবাব মোটাম ভালো,কাবাব মোটামটি ভালো,"['কাবাব', 'মোটামটি', 'ভালো']","['কাবাব', 'মোটাম', 'ভালো']",3
খাবারের টেস্ট একদমই বাজে!,0,খাবারের টেস্ট একদম বাজে,খাবারের টেস্ট একদমই বাজে,"['খাবারের', 'টেস্ট', 'একদমই', 'বাজে']","['খাবারের', 'টেস্ট', 'একদম', 'বাজে']",4
মুখে পানি চলে আসছে,1,মুখে পানি আস,মুখে পানি আসছে,"['মুখে', 'পানি', 'আসছে']","['মুখে', 'পানি', 'আস']",3
সিংগারা খুবই বাজে,0,সিংগা খুব বাজে,সিংগারা খুবই বাজে,"['সিংগারা', 'খুবই', 'বাজে']","['সিংগা', 'খুব', 'বাজে']",3
খাবারের পরিমাণ ভালো নয়,0,খাবারের পরিমাণ ভালো নয়,খাবারের পরিমাণ ভালো নয়,"['খাবারের', 'পরিমাণ', 'ভালো', 'নয়']","['খাবারের', 'পরিমাণ', 'ভালো', 'নয়']",4
অল্প টাকার মুল্যে অসাধরণ সুন্দর ও সুস্বাদু কেক সরবরাহ করে থাকে,1,অল্প টাকা মুল্যে অসাধরণ সুন্দর ও সুস্বা কেক সরবরাহ থাক,অল্প টাকার মুল্যে অসাধরণ সুন্দর ও সুস্বা কেক সরবরাহ থাকে,"['অল্প', 'টাকার', 'মুল্যে', 'অসাধরণ', 'সুন্দর', 'ও', 'সুস্বা', 'কেক', 'সরবরাহ', 'থাকে']","['অল্প', 'টাকা', 'মুল্যে', 'অসাধরণ', 'সুন্দর', 'ও', 'সুস্বা', 'কেক', 'সরবরাহ', 'থাক']",10
"প্রথমবারের মতো অর্ডার করা হয়েছে। খুব হতাশ ছিল। ফ্রাইড রাইসে সস্তা ভাতের গন্ধ ছিল, গরুর মাংস শুকনো লঙ্কা আর চিকেন মরিচ আলাদা করা যেত না!! মাছ কিছুটা ঠিক ছিল। অভ্যন্তরীণ প্যাকেজিং দুর্বল। শুধুমাত্র চমৎকার অংশ ব্র্যান্ডিং ছিল!!! বেশিদিন বিক্রি হবে না।",0,প্রথমবার অর্ড কর হতাশ ফ্রাইড রাইসে সস্ ভাত গন্ধ গরুর মাংস শুকনো লঙ্কা চি মরিচ আলাদা কর যেত না মাছ কিছু অভ্যন্তরীণ প্যাকেজিং দুর্বল শুধু চমৎক অংশ ব্র্যান্ডিং বেশি বিক্রি না,প্রথমবারের অর্ডার করা হতাশ ফ্রাইড রাইসে সস্ ভাতের গন্ধ গরুর মাংস শুকনো লঙ্কা চি মরিচ আলাদা করা যেত না মাছ কিছু অভ্যন্তরীণ প্যাকেজিং দুর্বল শুধু চমৎকার অংশ ব্র্যান্ডিং বেশি বিক্রি না,"['প্রথমবারের', 'অর্ডার', 'করা', 'হতাশ', 'ফ্রাইড', 'রাইসে', 'সস্', 'ভাতের', 'গন্ধ', 'গরুর', 'মাংস', 'শুকনো', 'লঙ্কা', 'চি', 'মরিচ', 'আলাদা', 'করা', 'যেত', 'না', 'মাছ', 'কিছু', 'অভ্যন্তরীণ', 'প্যাকেজিং', 'দুর্বল', 'শুধু', 'চমৎকার', 'অংশ', 'ব্র্যান্ডিং', 'বেশি', 'বিক্রি', 'না']","['প্রথমবার', 'অর্ড', 'কর', 'হতাশ', 'ফ্রাইড', 'রাইসে', 'সস্', 'ভাত', 'গন্ধ', 'গরুর', 'মাংস', 'শুকনো', 'লঙ্কা', 'চি', 'মরিচ', 'আলাদা', 'কর', 'যেত', 'না', 'মাছ', 'কিছু', 'অভ্যন্তরীণ', 'প্যাকেজিং', 'দুর্বল', 'শুধু', 'চমৎক', 'অংশ', 'ব্র্যান্ডিং', 'বেশি', 'বিক্রি', 'না']",31
কমলা মোটামটি ভালো,2,কমলা মোটাম ভালো,কমলা মোটামটি ভালো,"['কমলা', 'মোটামটি', 'ভালো']","['কমলা', 'মোটাম', 'ভালো']",3
খাবার এত ভালো ছিলো না,0,খা ভালো ছিলো না,খা ভালো ছিলো না,"['খা', 'ভালো', 'ছিলো', 'না']","['খা', 'ভালো', 'ছিলো', 'না']",4
খাবার খারাপ ছিল.. আক্ষরিক অর্থে পোরোটা ছিল অনেক তৈলাক্ত এবং ডাল ছিল জঘন্য,0,খা খারাপ আক্ষরিক অর্থে পোরো তৈলাক্ত ডাল জঘন্য,খা খারাপ আক্ষরিক অর্থে পোরো তৈলাক্ত ডাল জঘন্য,"['খা', 'খারাপ', 'আক্ষরিক', 'অর্থে', 'পোরো', 'তৈলাক্ত', 'ডাল', 'জঘন্য']","['খা', 'খারাপ', 'আক্ষরিক', 'অর্থে', 'পোরো', 'তৈলাক্ত', 'ডাল', 'জঘন্য']",8
খিচুড়ি আরেকটু বেশি দরকার,2,খিচুড়ি আরেকটু দরক,খিচুড়ি আরেকটু দরকার,"['খিচুড়ি', 'আরেকটু', 'দরকার']","['খিচুড়ি', 'আরেকটু', 'দরক']",3
"ভারতে বিভিন্ন ধাবায় পনির বাটার মাশালা খেয়ে থাকলে সেটির স্বাদ যেমন মুগ্ধ করেছে আপনাকে, এটিও ঠিক একইভাবে মুগ্ধ করবে। খুব সুন্দর মিষ্টি এক স্বাদ। এটির ক্রিমনেসও অসাধারণ। সাথে ক্যাপসিকাম থাকায় খুব হালকা ঝাঁজালো ভাব এসেছে এটিতেও। পনিরের হালকা সল্টিনেসের সাথে বাটারের ক্রিমনেস আর মিষ্টি ভাব খুব জমেছে। এটিও ২/৩ জন শেয়ার করার মতো।",1,ভার ধাবায় পনির বাটা মাশালা খায় থাকলে সেটি স্বাদ মুগ্ধ আপনা এটি একইভাবে মুগ্ধ করবে সুন্দর মিষ্ এক স্বাদ এটি ক্রিমনেস অসাধারণ সাথে ক্যাপসিকাম থাকায় হালকা ঝাঁজালো ভাব এস এটিতে পনির হালকা সল্টিনেসের সাথে বাটারের ক্রিমনেস মিষ্ ভাব জম এটি শেয় র মত,ভারতে ধাবায় পনির বাটার মাশালা খেয়ে থাকলে সেটির স্বাদ মুগ্ধ আপনা এটিও একইভাবে মুগ্ধ করবে সুন্দর মিষ্ এক স্বাদ এটির ক্রিমনেসও অসাধারণ সাথে ক্যাপসিকাম থাকায় হালকা ঝাঁজালো ভাব এসেছে এটিতেও পনিরের হালকা সল্টিনেসের সাথে বাটারের ক্রিমনেস মিষ্ ভাব জমেছে এটিও শেয়ার র মতো,"['ভারতে', 'ধাবায়', 'পনির', 'বাটার', 'মাশালা', 'খেয়ে', 'থাকলে', 'সেটির', 'স্বাদ', 'মুগ্ধ', 'আপনা', 'এটিও', 'একইভাবে', 'মুগ্ধ', 'করবে', 'সুন্দর', 'মিষ্', 'এক', 'স্বাদ', 'এটির', 'ক্রিমনেসও', 'অসাধারণ', 'সাথে', 'ক্যাপসিকাম', 'থাকায়', 'হালকা', 'ঝাঁজালো', 'ভাব', 'এসেছে', 'এটিতেও', 'পনিরের', 'হালকা', 'সল্টিনেসের', 'সাথে', 'বাটারের', 'ক্রিমনেস', 'মিষ্', 'ভাব', 'জমেছে', 'এটিও', 'শেয়ার', 'র', 'মতো']","['ভার', 'ধাবায়', 'পনির', 'বাটা', 'মাশালা', 'খায়', 'থাকলে', 'সেটি', 'স্বাদ', 'মুগ্ধ', 'আপনা', 'এটি', 'একইভাবে', 'মুগ্ধ', 'করবে', 'সুন্দর', 'মিষ্', 'এক', 'স্বাদ', 'এটি', 'ক্রিমনেস', 'অসাধারণ', 'সাথে', 'ক্যাপসিকাম', 'থাকায়', 'হালকা', 'ঝাঁজালো', 'ভাব', 'এস', 'এটিতে', 'পনির', 'হালকা', 'সল্টিনেসের', 'সাথে', 'বাটারের', 'ক্রিমনেস', 'মিষ্', 'ভাব', 'জম', 'এটি', 'শেয়', 'র', 'মত']",43
"মোরগ পোলাও ভালো ছিল,কিন্তু তেহেরি খুব একটা ভালো লাগে নাই।",2,মোরগ পোলা ভালো তেহেরি এক ভালো লাগে নাই,মোরগ পোলাও ভালো তেহেরি একটা ভালো লাগে নাই,"['মোরগ', 'পোলাও', 'ভালো', 'তেহেরি', 'একটা', 'ভালো', 'লাগে', 'নাই']","['মোরগ', 'পোলা', 'ভালো', 'তেহেরি', 'এক', 'ভালো', 'লাগে', 'নাই']",8
বার্গার মুটামুটি ভালো ,2,বার্গার মুটামু ভালো,বার্গার মুটামু ভালো,"['বার্গার', 'মুটামু', 'ভালো']","['বার্গার', 'মুটামু', 'ভালো']",3
মাশা আল্লাহ খাওয়ার জোস ছিলো 😍,1,মাশা আল্লাহ খাওয় জোস ছিলো,মাশা আল্লাহ খাওয়ার জোস ছিলো,"['মাশা', 'আল্লাহ', 'খাওয়ার', 'জোস', 'ছিলো']","['মাশা', 'আল্লাহ', 'খাওয়', 'জোস', 'ছিলো']",5
কাচ্চি খেতে মুটামুটি,2,কাচ্চি খেত মুটামু,কাচ্চি খেতে মুটামুটি,"['কাচ্চি', 'খেতে', 'মুটামুটি']","['কাচ্চি', 'খেত', 'মুটামু']",3
স্বাদ মোটামুটি,2,স্বাদ মোটামু,স্বাদ মোটামুটি,"['স্বাদ', 'মোটামুটি']","['স্বাদ', 'মোটামু']",2
রোস্ট আর একটু হলে জমতো,2,রোস্ট একটু জম,রোস্ট একটু জমতো,"['রোস্ট', 'একটু', 'জমতো']","['রোস্ট', 'একটু', 'জম']",3
পায়েস দুর্গন্ধ ,0,পায়েস দুর্গন্ধ,পায়েস দুর্গন্ধ,"['পায়েস', 'দুর্গন্ধ']","['পায়েস', 'দুর্গন্ধ']",2
বার্গার আর আরেক্টু হলে জমতো,2,বার্গার আরেক্টু জম,বার্গার আরেক্টু জমতো,"['বার্গার', 'আরেক্টু', 'জমতো']","['বার্গার', 'আরেক্টু', 'জম']",3
সবচেয়ে ভালো খাবার!! এটা অনেক ভালোবাসি,1,সবচেয়ে ভালো খা ভালোবাসি,সবচেয়ে ভালো খা ভালোবাসি,"['সবচেয়ে', 'ভালো', 'খা', 'ভালোবাসি']","['সবচেয়ে', 'ভালো', 'খা', 'ভালোবাসি']",4
মাংস দাম অনুযায়ী মোটামুটি,2,মাংস দাম মোটামু,মাংস দাম মোটামুটি,"['মাংস', 'দাম', 'মোটামুটি']","['মাংস', 'দাম', 'মোটামু']",3
চিকেন শর্মা রেট 2.5/5,2,চি শর্মা রেট,চি শর্মা রেট,"['চি', 'শর্মা', 'রেট']","['চি', 'শর্মা', 'রেট']",3
চিকেন মোমো ঠিকমত রান্না হয় না,0,চি মোমো ঠিকমত রান্না না,চি মোমো ঠিকমত রান্না না,"['চি', 'মোমো', 'ঠিকমত', 'রান্না', 'না']","['চি', 'মোমো', 'ঠিকমত', 'রান্না', 'না']",5
দুধ  পরিমাণে মাঝারি ,2,দুধ পরিমাণে মাঝারি,দুধ পরিমাণে মাঝারি,"['দুধ', 'পরিমাণে', 'মাঝারি']","['দুধ', 'পরিমাণে', 'মাঝারি']",3
নিরামিষ মোটামটি ভালো,2,নিরামিষ মোটাম ভালো,নিরামিষ মোটামটি ভালো,"['নিরামিষ', 'মোটামটি', 'ভালো']","['নিরামিষ', 'মোটাম', 'ভালো']",3
পিঠা আর একটু বাড়ালে আরো ভালো হতো,2,পিঠা একটু বাড়ালে আরো ভালো হত,পিঠা একটু বাড়ালে আরো ভালো হতো,"['পিঠা', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হতো']","['পিঠা', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হত']",6
"সকালের নাস্তা, দুপুরের খাবার, রাতের খাবার পাচ ভাই বেস্ট..... আর সন্ধ্যার নাস্তা, বিরিয়ানি পানসি বেস্ট",1,সকাল নাস্ দুপুর খা রাত খা ভাই বেস্ট সন্ধ্ নাস্ বিরিয়ানি পানসি বেস্ট,সকালের নাস্ দুপুরের খা রাতের খা ভাই বেস্ট সন্ধ্ নাস্ বিরিয়ানি পানসি বেস্ট,"['সকালের', 'নাস্', 'দুপুরের', 'খা', 'রাতের', 'খা', 'ভাই', 'বেস্ট', 'সন্ধ্', 'নাস্', 'বিরিয়ানি', 'পানসি', 'বেস্ট']","['সকাল', 'নাস্', 'দুপুর', 'খা', 'রাত', 'খা', 'ভাই', 'বেস্ট', 'সন্ধ্', 'নাস্', 'বিরিয়ানি', 'পানসি', 'বেস্ট']",13
একদম বাজে ছিলো। এটা কোনো পিজ্জার কাতারেই পরে না।,0,একদম বাজে ছিলো পিজ্জ কাতারে না,একদম বাজে ছিলো পিজ্জার কাতারেই না,"['একদম', 'বাজে', 'ছিলো', 'পিজ্জার', 'কাতারেই', 'না']","['একদম', 'বাজে', 'ছিলো', 'পিজ্জ', 'কাতারে', 'না']",6
ডাল খাওয়ার মত না,0,ডাল খাওয় মত না,ডাল খাওয়ার মত না,"['ডাল', 'খাওয়ার', 'মত', 'না']","['ডাল', 'খাওয়', 'মত', 'না']",4
খাবার আমার কাছে দারুণ ছিল। ঠিক বাড়ির মতো,1,খা দারুণ বাড়ির মত,খা দারুণ বাড়ির মতো,"['খা', 'দারুণ', 'বাড়ির', 'মতো']","['খা', 'দারুণ', 'বাড়ির', 'মত']",4
খিচুড়ি আরও রান্না হলে ভালো হতো,2,খিচুড়ি রান্না ভালো হত,খিচুড়ি রান্না ভালো হতো,"['খিচুড়ি', 'রান্না', 'ভালো', 'হতো']","['খিচুড়ি', 'রান্না', 'ভালো', 'হত']",4
পায়েস আর আরেক্টু বাড়ালে জমতো,2,পায়েস আরেক্টু বাড়ালে জম,পায়েস আরেক্টু বাড়ালে জমতো,"['পায়েস', 'আরেক্টু', 'বাড়ালে', 'জমতো']","['পায়েস', 'আরেক্টু', 'বাড়ালে', 'জম']",4
পোলাও খুবই বাজে,0,পোলা খুব বাজে,পোলাও খুবই বাজে,"['পোলাও', 'খুবই', 'বাজে']","['পোলা', 'খুব', 'বাজে']",3
খাবারের মান খুবই নিম্নমানের,0,খাবারের মান খুব নিম্নমান,খাবারের মান খুবই নিম্নমানের,"['খাবারের', 'মান', 'খুবই', 'নিম্নমানের']","['খাবারের', 'মান', 'খুব', 'নিম্নমান']",4
মাছের তরকারি মুটামুটি ভালো ,2,মাছ তরকারি মুটামু ভালো,মাছের তরকারি মুটামু ভালো,"['মাছের', 'তরকারি', 'মুটামু', 'ভালো']","['মাছ', 'তরকারি', 'মুটামু', 'ভালো']",4
নিরামিষ আহামরি কিছু না,2,নিরামিষ আহামরি না,নিরামিষ আহামরি না,"['নিরামিষ', 'আহামরি', 'না']","['নিরামিষ', 'আহামরি', 'না']",3
ডাল আর একটু বাড়ালে আরো ভালো হতো,2,ডাল একটু বাড়ালে আরো ভালো হত,ডাল একটু বাড়ালে আরো ভালো হতো,"['ডাল', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হতো']","['ডাল', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হত']",6
সমুচা বেশ বাজে খেতে,0,সমুচা বাজে খেত,সমুচা বাজে খেতে,"['সমুচা', 'বাজে', 'খেতে']","['সমুচা', 'বাজে', 'খেত']",3
রোস্ট আর আরেক্টু হলে জমতো,2,রোস্ট আরেক্টু জম,রোস্ট আরেক্টু জমতো,"['রোস্ট', 'আরেক্টু', 'জমতো']","['রোস্ট', 'আরেক্টু', 'জম']",3
রোস্ট দাম অনুযায়ী মোটামুটি,2,রোস্ট দাম মোটামু,রোস্ট দাম মোটামুটি,"['রোস্ট', 'দাম', 'মোটামুটি']","['রোস্ট', 'দাম', 'মোটামু']",3
পিঠা আরেকটু বেশি দরকার,2,পিঠা আরেকটু দরক,পিঠা আরেকটু দরকার,"['পিঠা', 'আরেকটু', 'দরকার']","['পিঠা', 'আরেকটু', 'দরক']",3
ডিমের তরকারি দাম অনুযায়ী মোটামুটি,2,ডিম তরকারি দাম মোটামু,ডিমের তরকারি দাম মোটামুটি,"['ডিমের', 'তরকারি', 'দাম', 'মোটামুটি']","['ডিম', 'তরকারি', 'দাম', 'মোটামু']",4
একদম ভালো না।নিজের অভিজ্ঞতা থেকে বলছি।খুলনার আব্বাস এর চুঁইঝাল আর এই হোটেলের চুৃঁইঝাল আকাশ পাতাল।,0,একদম ভালো না অভিজ্ঞতা খুলন আব্বাস চুঁইঝাল হোটেলের চুৃঁইঝাল আকাশ পাতাল,একদম ভালো না অভিজ্ঞতা খুলনার আব্বাস চুঁইঝাল হোটেলের চুৃঁইঝাল আকাশ পাতাল,"['একদম', 'ভালো', 'না', 'অভিজ্ঞতা', 'খুলনার', 'আব্বাস', 'চুঁইঝাল', 'হোটেলের', 'চুৃঁইঝাল', 'আকাশ', 'পাতাল']","['একদম', 'ভালো', 'না', 'অভিজ্ঞতা', 'খুলন', 'আব্বাস', 'চুঁইঝাল', 'হোটেলের', 'চুৃঁইঝাল', 'আকাশ', 'পাতাল']",11
স্পেশাল বিরিয়ানি আর চিকেন বিরিয়ানি মধ্যে পার্থক্য কি??২ টা বিরিয়ানিই একইরকম ছিল শুধুমাত্র স্পেশালে আলাদা একটা চিকেন মাসালা ছিল।তবে খাবারের টেস্ট ভালো ছিল।,0,স্পেশাল বিরিয়ানি চি বিরিয়ানি পার্থক্য বিরিয়ানি একইরকম শুধু স্পেশালে আলাদা এক চি মাসালা খাবারের টেস্ট ভালো ছিল,স্পেশাল বিরিয়ানি চি বিরিয়ানি পার্থক্য বিরিয়ানিই একইরকম শুধু স্পেশালে আলাদা একটা চি মাসালা খাবারের টেস্ট ভালো ছিল,"['স্পেশাল', 'বিরিয়ানি', 'চি', 'বিরিয়ানি', 'পার্থক্য', 'বিরিয়ানিই', 'একইরকম', 'শুধু', 'স্পেশালে', 'আলাদা', 'একটা', 'চি', 'মাসালা', 'খাবারের', 'টেস্ট', 'ভালো', 'ছিল']","['স্পেশাল', 'বিরিয়ানি', 'চি', 'বিরিয়ানি', 'পার্থক্য', 'বিরিয়ানি', 'একইরকম', 'শুধু', 'স্পেশালে', 'আলাদা', 'এক', 'চি', 'মাসালা', 'খাবারের', 'টেস্ট', 'ভালো', 'ছিল']",17
"এই শহরের সবচেয়ে খারাপ মাংসের বাক্সের স্বাদ কেমন, তাই আমি অনুমান করি আমার অর্থ সম্পূর্ণভাবে নষ্ট হয় না। 😃",0,শহর সবচেয়ে খারাপ মাংস বাক্স স্বাদ কেমন অনুমান করি অর্থ সম্পূর্ণভাবে নষ্ট না, শহরের সবচেয়ে খারাপ মাংসের বাক্সের স্বাদ কেমন অনুমান করি অর্থ সম্পূর্ণভাবে নষ্ট না,"['শহরের', 'সবচেয়ে', 'খারাপ', 'মাংসের', 'বাক্সের', 'স্বাদ', 'কেমন', 'অনুমান', 'করি', 'অর্থ', 'সম্পূর্ণভাবে', 'নষ্ট', 'না']","['শহর', 'সবচেয়ে', 'খারাপ', 'মাংস', 'বাক্স', 'স্বাদ', 'কেমন', 'অনুমান', 'করি', 'অর্থ', 'সম্পূর্ণভাবে', 'নষ্ট', 'না']",13
নিরামিষ এভারেজ,2,নিরামিষ এভারেজ,নিরামিষ এভারেজ,"['নিরামিষ', 'এভারেজ']","['নিরামিষ', 'এভারেজ']",2
সেইই রেসিপি আপু😍😍,1,সেইই রেসিপি আপু,সেইই রেসিপি আপু,"['সেইই', 'রেসিপি', 'আপু']","['সেইই', 'রেসিপি', 'আপু']",3
আলু ভর্তা পরিমাণে মাঝারি ,2,আলু ভর্ পরিমাণে মাঝারি,আলু ভর্ পরিমাণে মাঝারি,"['আলু', 'ভর্', 'পরিমাণে', 'মাঝারি']","['আলু', 'ভর্', 'পরিমাণে', 'মাঝারি']",4
কাচ্চি আরও রান্না হলে ভালো হতো,2,কাচ্চি রান্না ভালো হত,কাচ্চি রান্না ভালো হতো,"['কাচ্চি', 'রান্না', 'ভালো', 'হতো']","['কাচ্চি', 'রান্না', 'ভালো', 'হত']",4
প্রাইস অনুযায়ী চিকেন এর সাইজ এবং পরিমাণ খুবই ছোট ছিলো।,0,প্রাইস চি সাইজ পরিমাণ খুব ছোট ছিলো,প্রাইস চি সাইজ পরিমাণ খুবই ছোট ছিলো,"['প্রাইস', 'চি', 'সাইজ', 'পরিমাণ', 'খুবই', 'ছোট', 'ছিলো']","['প্রাইস', 'চি', 'সাইজ', 'পরিমাণ', 'খুব', 'ছোট', 'ছিলো']",7
মাংস খেতে মুটামুটি ,2,মাংস খেত মুটামু,মাংস খেতে মুটামুটি,"['মাংস', 'খেতে', 'মুটামুটি']","['মাংস', 'খেত', 'মুটামু']",3
কালা ভূনা এভারেজ লেগেছ,2,কালা ভূনা এভারেজ লাগ,কালা ভূনা এভারেজ লেগেছ,"['কালা', 'ভূনা', 'এভারেজ', 'লেগেছ']","['কালা', 'ভূনা', 'এভারেজ', 'লাগ']",4
পায়েস তুলনা মূলক ভাবে কম,2,পায়েস তুলনা মূলক কম,পায়েস তুলনা মূলক কম,"['পায়েস', 'তুলনা', 'মূলক', 'কম']","['পায়েস', 'তুলনা', 'মূলক', 'কম']",4
মাছের তরকারি খাওয়ার মত না,0,মাছ তরকারি খাওয় মত না,মাছের তরকারি খাওয়ার মত না,"['মাছের', 'তরকারি', 'খাওয়ার', 'মত', 'না']","['মাছ', 'তরকারি', 'খাওয়', 'মত', 'না']",5
