Label,text,clean_text,tokenized_clean_text,tokenized_stem_text,token_length
2.0,খিচুড়ি আরেকটু দরক,খিচুড়ি আরেকটু দরকার,"['খিচুড়ি', 'আরেকটু', 'দরকার']","['খিচুড়ি', 'আরেকটু', 'দরক']",3
2.0,সিল্ক কাবাব সাথে চি ফ্রা নিয়ে কাবাব চাই nসব মিলিয়ে স্বাদ খারাপ হয়নি, সিল্ক কাবাবের সাথে চি ফ্রাই নিয়েছি কাবাব চাইছি nসব মিলিয়ে স্বাদ খারাপ হয়নি,"['সিল্ক', 'কাবাবের', 'সাথে', 'চি', 'ফ্রাই', 'নিয়েছি', 'কাবাব', 'চাইছি', 'nসব', 'মিলিয়ে', 'স্বাদ', 'খারাপ', 'হয়নি']","['সিল্ক', 'কাবাব', 'সাথে', 'চি', 'ফ্রা', 'নিয়ে', 'কাবাব', 'চাই', 'nসব', 'মিলিয়ে', 'স্বাদ', 'খারাপ', 'হয়নি']",13
1.0,দাম একটু বেশি, দাম একটু বেশি,"['দাম', 'একটু', 'বেশি']","['দাম', 'একটু', 'বেশি']",3
0.0,কারনে হাজী বিরিয়ানি বেষ্ট লাগেনা, কারনেই হাজী বিরিয়ানি বেষ্ট লাগেনাই,"['কারনেই', 'হাজী', 'বিরিয়ানি', 'বেষ্ট', 'লাগেনাই']","['কারনে', 'হাজী', 'বিরিয়ানি', 'বেষ্ট', 'লাগেনা']",5
1.0,সরিষ তাল ধনেপা শুকনো মরিচ বেশী দিয়ে মাখানো ঝাল ঝাল স্বাদ মাংস আলু ভর্ ভাত দিয়ে খাত ভালো লাগ,সরিষার তেলে ধনেপা শুকনো মরিচ বেশী দিয়ে মাখানো ঝাল ঝাল স্বাদ মাংস আলু ভর্ ভাত দিয়ে খেতেও ভালোই লেগেছে,"['সরিষার', 'তেলে', 'ধনেপা', 'শুকনো', 'মরিচ', 'বেশী', 'দিয়ে', 'মাখানো', 'ঝাল', 'ঝাল', 'স্বাদ', 'মাংস', 'আলু', 'ভর্', 'ভাত', 'দিয়ে', 'খেতেও', 'ভালোই', 'লেগেছে']","['সরিষ', 'তাল', 'ধনেপা', 'শুকনো', 'মরিচ', 'বেশী', 'দিয়ে', 'মাখানো', 'ঝাল', 'ঝাল', 'স্বাদ', 'মাংস', 'আলু', 'ভর্', 'ভাত', 'দিয়ে', 'খাত', 'ভালো', 'লাগ']",19
0.0,বাজে লেভেলের ফুড,বাজে লেভেলের ফুড,"['বাজে', 'লেভেলের', 'ফুড']","['বাজে', 'লেভেলের', 'ফুড']",3
0.0,নীহারী চি স্যুপ ভালো লাগলো না,নীহারী চি স্যুপ ভালো লাগলো না,"['নীহারী', 'চি', 'স্যুপ', 'ভালো', 'লাগলো', 'না']","['নীহারী', 'চি', 'স্যুপ', 'ভালো', 'লাগলো', 'না']",6
1.0,পছন্ রেস্টুরেন্ট কিন্ত মাঝে বন্ধ থাক, পছন্দের রেস্টুরেন্ট কিন্ত মাঝে বন্ধ থাকে,"['পছন্দের', 'রেস্টুরেন্ট', 'কিন্ত', 'মাঝে', 'বন্ধ', 'থাকে']","['পছন্', 'রেস্টুরেন্ট', 'কিন্ত', 'মাঝে', 'বন্ধ', 'থাক']",6
0.0,স্বাদ একেবারে বাজে,স্বাদ একেবারে বাজে,"['স্বাদ', 'একেবারে', 'বাজে']","['স্বাদ', 'একেবারে', 'বাজে']",3
0.0,খাবারের টেস্ট একদম বাজে,খাবারের টেস্ট একদমই বাজে,"['খাবারের', 'টেস্ট', 'একদমই', 'বাজে']","['খাবারের', 'টেস্ট', 'একদম', 'বাজে']",4
1.0,যত প্রশংসা কর না রান্না উপস্থাপন কম ই হয়,যতো প্রশংসাই করা না রান্না উপস্থাপনার কম ই হয়,"['যতো', 'প্রশংসাই', 'করা', 'না', 'রান্না', 'উপস্থাপনার', 'কম', 'ই', 'হয়']","['যত', 'প্রশংসা', 'কর', 'না', 'রান্না', 'উপস্থাপন', 'কম', 'ই', 'হয়']",9
0.0,বাজে খা ডেলিভারি অনেকক্ষণ সময় নিয় পিকআপ দিয়েছি সঠিক খা নাই,বাজে খা ডেলিভারি অনেকক্ষণ সময় নিয়েছে পিকআপ দিয়েছিলাম সঠিক খা নাই,"['বাজে', 'খা', 'ডেলিভারি', 'অনেকক্ষণ', 'সময়', 'নিয়েছে', 'পিকআপ', 'দিয়েছিলাম', 'সঠিক', 'খা', 'নাই']","['বাজে', 'খা', 'ডেলিভারি', 'অনেকক্ষণ', 'সময়', 'নিয়', 'পিকআপ', 'দিয়েছি', 'সঠিক', 'খা', 'নাই']",11
1.0,একদম ধবধবে সাদা যে স্পঞ্জ রসগোল্লা অন্য রসগোল্লা স্পঞ্জ রসগোল্লায় মিষ্ পরিমাণ একটু কম সাধারণটি স্পঞ্জ তুলনায় একটু বেশী পরিমিত মিষ্ একদম তুলতুলে নরম,একদম ধবধবে সাদা যে স্পঞ্জের রসগোল্লা অন্যটি রসগোল্লা স্পঞ্জের রসগোল্লায় মিষ্টির পরিমাণটা একটু কম সাধারণটিতে স্পঞ্জের তুলনায় একটু বেশী পরিমিত মিষ্টিই একদম তুলতুলে নরম,"['একদম', 'ধবধবে', 'সাদা', 'যে', 'স্পঞ্জের', 'রসগোল্লা', 'অন্যটি', 'রসগোল্লা', 'স্পঞ্জের', 'রসগোল্লায়', 'মিষ্টির', 'পরিমাণটা', 'একটু', 'কম', 'সাধারণটিতে', 'স্পঞ্জের', 'তুলনায়', 'একটু', 'বেশী', 'পরিমিত', 'মিষ্টিই', 'একদম', 'তুলতুলে', 'নরম']","['একদম', 'ধবধবে', 'সাদা', 'যে', 'স্পঞ্জ', 'রসগোল্লা', 'অন্য', 'রসগোল্লা', 'স্পঞ্জ', 'রসগোল্লায়', 'মিষ্', 'পরিমাণ', 'একটু', 'কম', 'সাধারণটি', 'স্পঞ্জ', 'তুলনায়', 'একটু', 'বেশী', 'পরিমিত', 'মিষ্', 'একদম', 'তুলতুলে', 'নরম']",24
0.0,শহর সবচেয়ে খারাপ মাংস বাক্স স্বাদ কেমন অনুমান করি অর্থ সম্পূর্ণভাবে নষ্ট না, শহরের সবচেয়ে খারাপ মাংসের বাক্সের স্বাদ কেমন অনুমান করি অর্থ সম্পূর্ণভাবে নষ্ট না,"['শহরের', 'সবচেয়ে', 'খারাপ', 'মাংসের', 'বাক্সের', 'স্বাদ', 'কেমন', 'অনুমান', 'করি', 'অর্থ', 'সম্পূর্ণভাবে', 'নষ্ট', 'না']","['শহর', 'সবচেয়ে', 'খারাপ', 'মাংস', 'বাক্স', 'স্বাদ', 'কেমন', 'অনুমান', 'করি', 'অর্থ', 'সম্পূর্ণভাবে', 'নষ্ট', 'না']",13
0.0,প্রোডাক্ট কম ছিল,প্রোডাক্ট কম ছিল,"['প্রোডাক্ট', 'কম', 'ছিল']","['প্রোডাক্ট', 'কম', 'ছিল']",3
2.0,দামে ভালো না,দামে ভালো না,"['দামে', 'ভালো', 'না']","['দামে', 'ভালো', 'না']",3
0.0,একদম বাজে,একদম বাজে,"['একদম', 'বাজে']","['একদম', 'বাজে']",2
1.0,ভেজিটেবল আইটেম পছন্দ সবখানে ওভারপ্রাইজড ক্যান্টন্মেন্ট আশেপাশে থাকলে ট্রা পরিমানে যথেস্ট পরি সুন্দর খাওয়া রিতিমত অভ্যা পরিনত হয়, ভেজিটেবল আইটেম পছন্দ সবখানে ওভারপ্রাইজড ক্যান্টন্মেন্ট আশেপাশে থাকলে ট্রাই পরিমানে যথেস্ট পরি সুন্দর খাওয়া রিতিমত অভ্যা পরিনত হয়েছে,"['ভেজিটেবল', 'আইটেম', 'পছন্দ', 'সবখানে', 'ওভারপ্রাইজড', 'ক্যান্টন্মেন্ট', 'আশেপাশে', 'থাকলে', 'ট্রাই', 'পরিমানে', 'যথেস্ট', 'পরি', 'সুন্দর', 'খাওয়া', 'রিতিমত', 'অভ্যা', 'পরিনত', 'হয়েছে']","['ভেজিটেবল', 'আইটেম', 'পছন্দ', 'সবখানে', 'ওভারপ্রাইজড', 'ক্যান্টন্মেন্ট', 'আশেপাশে', 'থাকলে', 'ট্রা', 'পরিমানে', 'যথেস্ট', 'পরি', 'সুন্দর', 'খাওয়া', 'রিতিমত', 'অভ্যা', 'পরিনত', 'হয়']",18
1.0,সর্বকাল সের পিজা,সর্বকালের সেরা পিজা,"['সর্বকালের', 'সেরা', 'পিজা']","['সর্বকাল', 'সের', 'পিজা']",3
0.0,টাকা টাকা পাস্ ও দেয় নাই,টাকা টাকার পাস্ ও দেয় নাই,"['টাকা', 'টাকার', 'পাস্', 'ও', 'দেয়', 'নাই']","['টাকা', 'টাকা', 'পাস্', 'ও', 'দেয়', 'নাই']",6
0.0,বাসি খা দিয়েছিলো,বাসি খা দিয়েছিলো,"['বাসি', 'খা', 'দিয়েছিলো']","['বাসি', 'খা', 'দিয়েছিলো']",3
2.0,সবজি দরক,সবজি দরকার,"['সবজি', 'দরকার']","['সবজি', 'দরক']",2
0.0,খুবি বাজে খা মান অনুযায়ী দাম খুবি বেশী চায় রাস্ টাকা ভেল্পুরি ভাল,খুবি বাজে খা মান অনুযায়ী দাম খুবি বেশী চেয়ে রাস্ টাকার ভেল্পুরিও ভাল,"['খুবি', 'বাজে', 'খা', 'মান', 'অনুযায়ী', 'দাম', 'খুবি', 'বেশী', 'চেয়ে', 'রাস্', 'টাকার', 'ভেল্পুরিও', 'ভাল']","['খুবি', 'বাজে', 'খা', 'মান', 'অনুযায়ী', 'দাম', 'খুবি', 'বেশী', 'চায়', 'রাস্', 'টাকা', 'ভেল্পুরি', 'ভাল']",13
0.0,বাজে চা বল ভাষা নেই, বাজে চা বলার ভাষা নেই,"['বাজে', 'চা', 'বলার', 'ভাষা', 'নেই']","['বাজে', 'চা', 'বল', 'ভাষা', 'নেই']",5
0.0,বাজে চুই ঝাল টা, বাজে চুই ঝাল টা,"['বাজে', 'চুই', 'ঝাল', 'টা']","['বাজে', 'চুই', 'ঝাল', 'টা']",4
1.0,খাইসি খুব মজ, খাইসি খুবই মজার,"['খাইসি', 'খুবই', 'মজার']","['খাইসি', 'খুব', 'মজ']",3
1.0,ফুচকা গুলা ভাল আগ দিন তুলনায়,ফুচকা গুলা ভাল আগের দিনের তুলনায়,"['ফুচকা', 'গুলা', 'ভাল', 'আগের', 'দিনের', 'তুলনায়']","['ফুচকা', 'গুলা', 'ভাল', 'আগ', 'দিন', 'তুলনায়']",6
2.0,বাজেট বান্ধব খা অসাধারণ নয়,বাজেট বান্ধব খা অসাধারণ নয়,"['বাজেট', 'বান্ধব', 'খা', 'অসাধারণ', 'নয়']","['বাজেট', 'বান্ধব', 'খা', 'অসাধারণ', 'নয়']",5
0.0,বাজে, বাজে,['বাজে'],['বাজে'],1
0.0,কাচ্চি ভাই চুই বাজে টেস্ট ঢাকায় ধানমন্ডির চুই ঝাল রেস্টূরেন্টে একটু জাত চুই রান্না পারত,কাচ্চি ভাই চুই বাজে টেস্টের ঢাকায় ধানমন্ডির চুই ঝাল রেস্টূরেন্টেই একটু জাতের চুই রান্না পারত,"['কাচ্চি', 'ভাই', 'চুই', 'বাজে', 'টেস্টের', 'ঢাকায়', 'ধানমন্ডির', 'চুই', 'ঝাল', 'রেস্টূরেন্টেই', 'একটু', 'জাতের', 'চুই', 'রান্না', 'পারত']","['কাচ্চি', 'ভাই', 'চুই', 'বাজে', 'টেস্ট', 'ঢাকায়', 'ধানমন্ডির', 'চুই', 'ঝাল', 'রেস্টূরেন্টে', 'একটু', 'জাত', 'চুই', 'রান্না', 'পারত']",15
0.0,মন বাজে খা জিবনে খাইনি ভুনা খিচুড়ি না হলুদ রংয় সাদা ভাত টাকা টাই নষ্ট খুবি বাজে ফালাইয়া লাগ,মন বাজে খা জিবনেও খাইনি ভুনা খিচুড়ি না হলুদ রংয়ের সাদা ভাত টাকা টাই নষ্ট খুবি বাজে ফালাইয়া লাগছে,"['মন', 'বাজে', 'খা', 'জিবনেও', 'খাইনি', 'ভুনা', 'খিচুড়ি', 'না', 'হলুদ', 'রংয়ের', 'সাদা', 'ভাত', 'টাকা', 'টাই', 'নষ্ট', 'খুবি', 'বাজে', 'ফালাইয়া', 'লাগছে']","['মন', 'বাজে', 'খা', 'জিবনে', 'খাইনি', 'ভুনা', 'খিচুড়ি', 'না', 'হলুদ', 'রংয়', 'সাদা', 'ভাত', 'টাকা', 'টাই', 'নষ্ট', 'খুবি', 'বাজে', 'ফালাইয়া', 'লাগ']",19
0.0,তেহেরি ভাই ভালো লাগে শালা না বাজে খা সর্বোচ্চ বু কোন কুত্ এরচেয়ে ভাল খা খায়,তেহেরি ভাই ভালো লাগে শালার না বাজে খা সর্বোচ্চ বু কোনটাতে কুত্ এরচেয়ে ভাল খা খায়,"['তেহেরি', 'ভাই', 'ভালো', 'লাগে', 'শালার', 'না', 'বাজে', 'খা', 'সর্বোচ্চ', 'বু', 'কোনটাতে', 'কুত্', 'এরচেয়ে', 'ভাল', 'খা', 'খায়']","['তেহেরি', 'ভাই', 'ভালো', 'লাগে', 'শালা', 'না', 'বাজে', 'খা', 'সর্বোচ্চ', 'বু', 'কোন', 'কুত্', 'এরচেয়ে', 'ভাল', 'খা', 'খায়']",16
0.0,সময় মত খারাপ, সময়ের মত খারাপ,"['সময়ের', 'মত', 'খারাপ']","['সময়', 'মত', 'খারাপ']",3
2.0,কালা ভূনা মোটাম ভালো,কালা ভূনা মোটামটি ভালো,"['কালা', 'ভূনা', 'মোটামটি', 'ভালো']","['কালা', 'ভূনা', 'মোটাম', 'ভালো']",4
2.0,আলু ভর্ দাম মোটামু,আলু ভর্ দাম মোটামুটি,"['আলু', 'ভর্', 'দাম', 'মোটামুটি']","['আলু', 'ভর্', 'দাম', 'মোটামু']",4
0.0,বাজে খা প্রাইজ বেশী ফুড পরিমান কম,বাজে খা প্রাইজ বেশী ফুড পরিমান কম,"['বাজে', 'খা', 'প্রাইজ', 'বেশী', 'ফুড', 'পরিমান', 'কম']","['বাজে', 'খা', 'প্রাইজ', 'বেশী', 'ফুড', 'পরিমান', 'কম']",7
0.0,খাবারের মান খারাপ,খাবারের মান খারাপ,"['খাবারের', 'মান', 'খারাপ']","['খাবারের', 'মান', 'খারাপ']",3
1.0,ফুসক কোয়া ভাল ছিল,ফুসকার কোয়ালি ভাল ছিল,"['ফুসকার', 'কোয়ালি', 'ভাল', 'ছিল']","['ফুসক', 'কোয়া', 'ভাল', 'ছিল']",4
0.0,হতাশ,হতাশ,['হতাশ'],['হতাশ'],1
2.0,ফ্রেন্স ফ্রা পরিমাণে মাঝারি,ফ্রেন্স ফ্রাই পরিমাণে মাঝারি,"['ফ্রেন্স', 'ফ্রাই', 'পরিমাণে', 'মাঝারি']","['ফ্রেন্স', 'ফ্রা', 'পরিমাণে', 'মাঝারি']",4
0.0,খা ভালো না,খা ভালো না,"['খা', 'ভালো', 'না']","['খা', 'ভালো', 'না']",3
2.0,কমলা দরক,কমলা দরকার,"['কমলা', 'দরকার']","['কমলা', 'দরক']",2
0.0,পরাঠা বিরক্তিকর চি স্যুপ মোটে ঘন না সস্ দামে ভাল স্যুপ টন সালাদ দেননি আশা করি ভবিষ্য ভালো হবে,পরাঠাগুলো বিরক্তিকর চি স্যুপ মোটেও ঘন না সস্ দামে ভাল স্যুপ টন সালাদও দেননি আশা করি ভবিষ্যতে ভালো হবে,"['পরাঠাগুলো', 'বিরক্তিকর', 'চি', 'স্যুপ', 'মোটেও', 'ঘন', 'না', 'সস্', 'দামে', 'ভাল', 'স্যুপ', 'টন', 'সালাদও', 'দেননি', 'আশা', 'করি', 'ভবিষ্যতে', 'ভালো', 'হবে']","['পরাঠা', 'বিরক্তিকর', 'চি', 'স্যুপ', 'মোটে', 'ঘন', 'না', 'সস্', 'দামে', 'ভাল', 'স্যুপ', 'টন', 'সালাদ', 'দেননি', 'আশা', 'করি', 'ভবিষ্য', 'ভালো', 'হবে']",19
0.0,টাকায় chicken ভাই হাড় তাও piece out of,টাকায় chicken ভাই হাড় তাও piece out of,"['টাকায়', 'chicken', 'ভাই', 'হাড়', 'তাও', 'piece', 'out', 'of']","['টাকায়', 'chicken', 'ভাই', 'হাড়', 'তাও', 'piece', 'out', 'of']",8
2.0,খাবারের মান মাঝারি,খাবারের মান মাঝারি,"['খাবারের', 'মান', 'মাঝারি']","['খাবারের', 'মান', 'মাঝারি']",3
0.0,খাবারটা টাকা কি কস্ট বাইরে টাকা তেই হয় যায়, খাবারটা টাকা কি কস্ট বাইরে টাকা তেই হয়ে যায়,"['খাবারটা', 'টাকা', 'কি', 'কস্ট', 'বাইরে', 'টাকা', 'তেই', 'হয়ে', 'যায়']","['খাবারটা', 'টাকা', 'কি', 'কস্ট', 'বাইরে', 'টাকা', 'তেই', 'হয়', 'যায়']",9
2.0,কাচ্চি ভালো দামে বেশি,কাচ্চি ভালো দামে বেশি,"['কাচ্চি', 'ভালো', 'দামে', 'বেশি']","['কাচ্চি', 'ভালো', 'দামে', 'বেশি']",4
1.0,পারফেক্ট স্বাদ ও লুক এস,পারফেক্ট স্বাদ ও লুক এসেছে,"['পারফেক্ট', 'স্বাদ', 'ও', 'লুক', 'এসেছে']","['পারফেক্ট', 'স্বাদ', 'ও', 'লুক', 'এস']",5
2.0,সমুচা এভারেজ,সমুচা এভারেজ,"['সমুচা', 'এভারেজ']","['সমুচা', 'এভারেজ']",2
2.0,কমলা তুলনা মূলক কম,কমলা তুলনা মূলক কম,"['কমলা', 'তুলনা', 'মূলক', 'কম']","['কমলা', 'তুলনা', 'মূলক', 'কম']",4
1.0,এমনি ভালো পরিমাণ পারলে ভালো হত,এমনিতে ভালো পরিমাণ পারলে ভালো হতো,"['এমনিতে', 'ভালো', 'পরিমাণ', 'পারলে', 'ভালো', 'হতো']","['এমনি', 'ভালো', 'পরিমাণ', 'পারলে', 'ভালো', 'হত']",6
1.0,খুশি হয়ে বেগুন ভর্ পেয়ে তাই, খুশি হয়েছি বেগুন ভর্ পেয়েছি তাই,"['খুশি', 'হয়েছি', 'বেগুন', 'ভর্', 'পেয়েছি', 'তাই']","['খুশি', 'হয়ে', 'বেগুন', 'ভর্', 'পেয়ে', 'তাই']",6
2.0,নিরামিষ একটু বাড়ালে আরো ভালো হত,নিরামিষ একটু বাড়ালে আরো ভালো হতো,"['নিরামিষ', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হতো']","['নিরামিষ', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হত']",6
2.0,এটি হাঁস গ্রেভির তুলনায় তেলের পরিমাণ কিছু লবণ পরিমাণ কিছু হাঁস মুরগির মাংস শক্ত এখানে প্রতি প্লেট টুক স্বাদে মোটামু,এটিতে হাঁসের গ্রেভির তুলনায় তেলের পরিমাণ কিছু লবণের পরিমাণ কিছু হাঁসের মুরগির মাংসও শক্ত এখানেও প্রতি প্লেটে টুকরা স্বাদেও মোটামুটি,"['এটিতে', 'হাঁসের', 'গ্রেভির', 'তুলনায়', 'তেলের', 'পরিমাণ', 'কিছু', 'লবণের', 'পরিমাণ', 'কিছু', 'হাঁসের', 'মুরগির', 'মাংসও', 'শক্ত', 'এখানেও', 'প্রতি', 'প্লেটে', 'টুকরা', 'স্বাদেও', 'মোটামুটি']","['এটি', 'হাঁস', 'গ্রেভির', 'তুলনায়', 'তেলের', 'পরিমাণ', 'কিছু', 'লবণ', 'পরিমাণ', 'কিছু', 'হাঁস', 'মুরগির', 'মাংস', 'শক্ত', 'এখানে', 'প্রতি', 'প্লেট', 'টুক', 'স্বাদে', 'মোটামু']",20
1.0,সরিষ তেলের সুন্দর এক ঝাজ না লাগবে তেহারী খাওয়া করলে রাইস খুব সফট একটু মাখা মাখা সাথে বাইট সাইজ টুকরো মাংস সাথে ছোট ছোট গোল আলু আছ সব সলিড মাংস পেয়েছি হাড় পড়েনি এক একটু মাখা অসাধারণ তেহারী লেবু চিপে খায় লাগ,সরিষার তেলের সুন্দর একটা ঝাজ না লাগবে তেহারী খাওয়া করলেই রাইসগুলো খুবই সফট একটু মাখা মাখা সাথে বাইট সাইজের টুকরো মাংস সাথে ছোট ছোট গোল আলু আছেই সবগুলোই সলিড মাংস পেয়েছি হাড় পড়েনি একটিও একটু মাখিয়ে অসাধারণ তেহারী লেবু চিপে খেয়ে লেগেছে,"['সরিষার', 'তেলের', 'সুন্দর', 'একটা', 'ঝাজ', 'না', 'লাগবে', 'তেহারী', 'খাওয়া', 'করলেই', 'রাইসগুলো', 'খুবই', 'সফট', 'একটু', 'মাখা', 'মাখা', 'সাথে', 'বাইট', 'সাইজের', 'টুকরো', 'মাংস', 'সাথে', 'ছোট', 'ছোট', 'গোল', 'আলু', 'আছেই', 'সবগুলোই', 'সলিড', 'মাংস', 'পেয়েছি', 'হাড়', 'পড়েনি', 'একটিও', 'একটু', 'মাখিয়ে', 'অসাধারণ', 'তেহারী', 'লেবু', 'চিপে', 'খেয়ে', 'লেগেছে']","['সরিষ', 'তেলের', 'সুন্দর', 'এক', 'ঝাজ', 'না', 'লাগবে', 'তেহারী', 'খাওয়া', 'করলে', 'রাইস', 'খুব', 'সফট', 'একটু', 'মাখা', 'মাখা', 'সাথে', 'বাইট', 'সাইজ', 'টুকরো', 'মাংস', 'সাথে', 'ছোট', 'ছোট', 'গোল', 'আলু', 'আছ', 'সব', 'সলিড', 'মাংস', 'পেয়েছি', 'হাড়', 'পড়েনি', 'এক', 'একটু', 'মাখা', 'অসাধারণ', 'তেহারী', 'লেবু', 'চিপে', 'খায়', 'লাগ']",42
0.0,ভালো না উদা নাচোস এইভাবে পার্সেল দেয়,ভালো না উদাই নাচোস এইভাবে পার্সেল দেয়,"['ভালো', 'না', 'উদাই', 'নাচোস', 'এইভাবে', 'পার্সেল', 'দেয়']","['ভালো', 'না', 'উদা', 'নাচোস', 'এইভাবে', 'পার্সেল', 'দেয়']",7
2.0,মোটামো ভাল খারাপ না,মোটামো ভালই খারাপ না,"['মোটামো', 'ভালই', 'খারাপ', 'না']","['মোটামো', 'ভাল', 'খারাপ', 'না']",4
1.0,আজক রেসিপি এক চমক,আজকের রেসিপি একটা চমক,"['আজকের', 'রেসিপি', 'একটা', 'চমক']","['আজক', 'রেসিপি', 'এক', 'চমক']",4
2.0,পোলা মুটামু ভালো,পোলাও মুটামু ভালো,"['পোলাও', 'মুটামু', 'ভালো']","['পোলা', 'মুটামু', 'ভালো']",3
0.0,ক্রিসপি চি বেগুন চপ ছিলো বুঝ না,ক্রিসপি চি বেগুনের চপ ছিলো বুঝলাম না,"['ক্রিসপি', 'চি', 'বেগুনের', 'চপ', 'ছিলো', 'বুঝলাম', 'না']","['ক্রিসপি', 'চি', 'বেগুন', 'চপ', 'ছিলো', 'বুঝ', 'না']",7
0.0,চি রোষ্ট ছোট,চি রোষ্ট ছোট,"['চি', 'রোষ্ট', 'ছোট']","['চি', 'রোষ্ট', 'ছোট']",3
0.0,খাবারের মান ভাল ছিলো না কেক িনের আগ ছিলো কুপারস এরকম আশা করি না,খাবারের মান ভাল ছিলো না কেকটা িনের আগের ছিলো কুপারসের এরকম আশা করি না,"['খাবারের', 'মান', 'ভাল', 'ছিলো', 'না', 'কেকটা', 'িনের', 'আগের', 'ছিলো', 'কুপারসের', 'এরকম', 'আশা', 'করি', 'না']","['খাবারের', 'মান', 'ভাল', 'ছিলো', 'না', 'কেক', 'িনের', 'আগ', 'ছিলো', 'কুপারস', 'এরকম', 'আশা', 'করি', 'না']",14
2.0,খাবারের মান ভালো দাম তুলনায় পরিমাণে কম,খাবারের মান ভালো দামের তুলনায় পরিমাণে কম,"['খাবারের', 'মান', 'ভালো', 'দামের', 'তুলনায়', 'পরিমাণে', 'কম']","['খাবারের', 'মান', 'ভালো', 'দাম', 'তুলনায়', 'পরিমাণে', 'কম']",7
1.0,মাংস একদম তুলতুলে সফট না হালকা একটু টান টান খেত হয় মাংস মশলা একদম ভুনা ভুনা থিক স্ এটি রিচ লাগ,মাংসগুলো একদম তুলতুলে সফট না হালকা একটু টেনে টেনে খেতে হয়েছে মাংসের মশলা একদম ভুনা ভুনা থিক স্ এটি রিচই লেগেছে,"['মাংসগুলো', 'একদম', 'তুলতুলে', 'সফট', 'না', 'হালকা', 'একটু', 'টেনে', 'টেনে', 'খেতে', 'হয়েছে', 'মাংসের', 'মশলা', 'একদম', 'ভুনা', 'ভুনা', 'থিক', 'স্', 'এটি', 'রিচই', 'লেগেছে']","['মাংস', 'একদম', 'তুলতুলে', 'সফট', 'না', 'হালকা', 'একটু', 'টান', 'টান', 'খেত', 'হয়', 'মাংস', 'মশলা', 'একদম', 'ভুনা', 'ভুনা', 'থিক', 'স্', 'এটি', 'রিচ', 'লাগ']",21
0.0,ভাই অনলাইন মানুষ সাথে বাটপারি কর লাগে খাবারের পরিমান এত কম যে বলব টাকা নিবে পরিমান কম,ভাই অনলাইন মানুষের সাথে বাটপারি করা লাগে খাবারের পরিমান এতো কম যে বলব টাকা নিবে পরিমান কম,"['ভাই', 'অনলাইন', 'মানুষের', 'সাথে', 'বাটপারি', 'করা', 'লাগে', 'খাবারের', 'পরিমান', 'এতো', 'কম', 'যে', 'বলব', 'টাকা', 'নিবে', 'পরিমান', 'কম']","['ভাই', 'অনলাইন', 'মানুষ', 'সাথে', 'বাটপারি', 'কর', 'লাগে', 'খাবারের', 'পরিমান', 'এত', 'কম', 'যে', 'বলব', 'টাকা', 'নিবে', 'পরিমান', 'কম']",17
0.0,চি মাসালা একদম বাজে কম ভাবিনি চি ফ্রা বাসি,চি মাসালা একদম বাজে কম ভাবিনি চি ফ্রাই বাসি,"['চি', 'মাসালা', 'একদম', 'বাজে', 'কম', 'ভাবিনি', 'চি', 'ফ্রাই', 'বাসি']","['চি', 'মাসালা', 'একদম', 'বাজে', 'কম', 'ভাবিনি', 'চি', 'ফ্রা', 'বাসি']",9
2.0,বার্গার আরেক্টু বাড়ালে জম,বার্গার আরেক্টু বাড়ালে জমতো,"['বার্গার', 'আরেক্টু', 'বাড়ালে', 'জমতো']","['বার্গার', 'আরেক্টু', 'বাড়ালে', 'জম']",4
1.0,বার্গার চি মোমো দুর্দান্ত ছিল,বার্গার চি মোমো দুর্দান্ত ছিল,"['বার্গার', 'চি', 'মোমো', 'দুর্দান্ত', 'ছিল']","['বার্গার', 'চি', 'মোমো', 'দুর্দান্ত', 'ছিল']",5
1.0,তাক্বওয়া দই ফুচকা খেত খেত স্টোরি সবা বিরক্ত xD তাও প্রতি খাওয়া লাগবে,তাক্বওয়া দই ফুচকা খেতে খেতে স্টোরি সবাই বিরক্ত xD তাও প্রতি খাওয়া লাগবেই,"['তাক্বওয়া', 'দই', 'ফুচকা', 'খেতে', 'খেতে', 'স্টোরি', 'সবাই', 'বিরক্ত', 'xD', 'তাও', 'প্রতি', 'খাওয়া', 'লাগবেই']","['তাক্বওয়া', 'দই', 'ফুচকা', 'খেত', 'খেত', 'স্টোরি', 'সবা', 'বিরক্ত', 'xD', 'তাও', 'প্রতি', 'খাওয়া', 'লাগবে']",13
